"Groupe";"CD_REF";"LB_NOM";"NOM_COMPLET";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_N";"LRN_N_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det"
"Amphibiens";202;"Alytes obstetricans obstetricans";"Alytes obstetricans obstetricans (Laurenti, 1768)";"Alyte accoucheur (L')";"Amphibia";"Anura";"Alytidae";"FRAR2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";197;"Alytes obstetricans";"Alytes obstetricans (Laurenti, 1768)";"Alyte accoucheur (L'), Crapaud accoucheur";"Amphibia";"Anura";"Alytidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";964271;"Alytes almogavarii";"Alytes almogavarii Arntzen & García-París, 1995";"Alyte catalan (L'),  Alyte accoucheur almogavare (L')";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";1010138;"Alytes almogavarii almogavarii";"Alytes almogavarii almogavarii Arntzen & García-París, 1995";"Alyte catalan almogavare (L')";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";444427;"Calotriton asper";"Calotriton asper (Al. Dugès, 1852)";"Calotriton des Pyrénées (Le), Euprocte des Pyrénées";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;"VU";"B(1+2)ab(ii,iii,iv,v)";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";459628;"Epidalea calamita";"Epidalea calamita (Laurenti, 1768)";"Crapaud calamite (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";259;"Bufo bufo";"Bufo bufo (Linnaeus, 1758)";"Crapaud commun (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR3";NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";819822;"Bufotes viridis";"Bufotes viridis (Laurenti, 1768)";"Crapaud vert (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"NT";"pr. B(1+2)a";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";819825;"Bufotes viridis viridis";"Bufotes viridis viridis (Laurenti, 1768)";"Crapaud vert (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"EN";"B2ab(iii,iv,v)";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";819824;"Bufotes viridis balearicus";"Bufotes viridis balearicus (Boettger, 1880)";"Crapaud vert des Baléares (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";774678;"Bufo spinosus";"Bufo spinosus (Daudin, 1803)";"Crapaud épineux (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";223;"Discoglossus montalentii";"Discoglossus montalentii Lanza, Nascetti, Capula & Bullini, 1984";"Discoglosse Corse (Le)";"Amphibia";"Anura";"Discoglossidae";"FRAR2";NA;"NT";"pr. B(1+2)a";NA;NA;NA;NA;NA;NA;"CDH2, CDH4";NA;NA;NA
"Amphibiens";225;"Discoglossus pictus";"Discoglossus pictus Otth, 1837";"Discoglosse peint (Le)";"Amphibia";"Anura";"Discoglossidae";NA;NA;"NA";"a";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";699628;"Discoglossus pictus auritus";"Discoglossus pictus auritus Héron-Royer, 1888";"Discoglosse peint algérien (Le)";"Amphibia";"Anura";"Discoglossidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";229;"Discoglossus sardus";"Discoglossus sardus Tschudi in Otth, 1837";"Discoglosse sarde (Le)";"Amphibia";"Anura";"Discoglossidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH2, CDH4";NA;NA;NA
"Amphibiens";59;"Euproctus montanus";"Euproctus montanus (Savi, 1838)";"Euprocte de Corse (L')";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";310;"Rana dalmatina";"Rana dalmatina Fitzinger in Bonaparte, 1838";"Grenouille agile (La)";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";444437;"Pelophylax bedriagae";"Pelophylax bedriagae (Camerano, 1882)";"Grenouille de Bedriaga (La)";"Amphibia";"Anura";"Ranidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";444439;"Pelophylax kl. grafi";"Pelophylax kl. grafi (Crochet, Dubois, Ohler & Tunner, 1995)";"Grenouille de Graf (La)";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"NT";"pr. A2ac";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";444441;"Pelophylax lessonae";"Pelophylax lessonae (Camerano, 1882)";"Grenouille de Lessona (La)";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"NT";"pr. A4ac";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";699199;"Pelophylax lessonae lessonae";"Pelophylax lessonae lessonae (Camerano, 1882)";"Grenouille de Lessona (La)";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"NT";"pr. A4ac";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";699198;"Pelophylax lessonae bergeri";"Pelophylax lessonae bergeri (Günther in Engelmann, Fritzsche, Günther & Obst, 1986)";"Grenouille de Lessona de Berger (La)";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";444442;"Pelophylax perezi";"Pelophylax perezi (Seoane, 1885)";"Grenouille de Pérez (La)";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"NT";"pr. A2ac";NA;NA;NA;NA;NA;NA;"CDH5";NA;NA;NA
"Amphibiens";699545;"Pelophylax kurtmuelleri";"Pelophylax kurtmuelleri (Gayda, 1940)";"Grenouille des Balkans";"Amphibia";"Anura";"Ranidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";79266;"Rana pyrenaica";"Rana pyrenaica Serra-Cobo, 1993";"Grenouille des Pyrénées (La)";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"EN";"B2ab(iii,v)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";299;"Rana arvalis";"Rana arvalis Nilsson, 1842";"Grenouille des champs (La), Grenouille oxyrhine";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;"EN";"B2ab(ii,iii,iv,v)";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";304;"Rana arvalis arvalis";"Rana arvalis arvalis Nilsson, 1842";"Grenouille des champs (La), Grenouille oxyrhine";"Amphibia";"Anura";"Ranidae";"FRAR2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";444443;"Pelophylax ridibundus";"Pelophylax ridibundus (Pallas, 1771)";"Grenouille rieuse (La)";"Amphibia";"Anura";"Ranidae";"FRAR3";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH5";NA;NA;NA
"Amphibiens";351;"Rana temporaria";"Rana temporaria Linnaeus, 1758";"Grenouille rousse (La)";"Amphibia";"Anura";"Ranidae";"FRAR4";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH5";NA;NA;NA
"Amphibiens";357;"Rana temporaria temporaria";"Rana temporaria temporaria Linnaeus, 1758";"Grenouille rousse (La)";"Amphibia";"Anura";"Ranidae";"FRAR4";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH5";NA;NA;NA
"Amphibiens";355;"Rana temporaria canigonensis";"Rana temporaria canigonensis Boubée, 1833";"Grenouille rousse du Canigou (La)";"Amphibia";"Anura";"Ranidae";"FRAR4";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH5";NA;NA;NA
"Amphibiens";995112;"Pelophylax saharicus";"Pelophylax saharicus (Boulenger in Hartert, 1913)";"Grenouille saharienne (La)";"Amphibia";"Anura";"Ranidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";444440;"Pelophylax kl. esculentus";"Pelophylax kl. esculentus (Linnaeus, 1758)";"Grenouille verte (La), Grenouille commune";"Amphibia";"Anura";"Ranidae";"FRAR4";NA;"NT";"pr. A4ac";NA;NA;NA;NA;NA;NA;"CDH5";NA;NA;NA
"Amphibiens";74;"Pleurodeles waltl";"Pleurodeles waltl Michahelles, 1830";"Pleurodèle de Waltl (Le)";"Amphibia";"Urodela";"Salamandridae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";240;"Pelobates fuscus";"Pelobates fuscus (Laurenti, 1768)";"Pélobate brun (Le)";"Amphibia";"Anura";"Pelobatidae";"FRAR2";NA;"EN";"B2ab(i,ii,iii,iv,v)";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";235;"Pelobates cultripes";"Pelobates cultripes (Cuvier, 1829)";"Pélobate cultripède (Le)";"Amphibia";"Anura";"Pelobatidae";"FRAR2";NA;"VU";"B2ab(ii,iii,iv,v)";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";252;"Pelodytes punctatus";"Pelodytes punctatus (Daudin, 1803)";"Pélodyte ponctué (Le)";"Amphibia";"Anura";"Pelodytidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";774683;"Hyla molleri";"Hyla molleri Bedriaga, 1889";"Rainette ibérique (La)";"Amphibia";"Anura";"Hylidae";"FRAR2";NA;"VU";"B2ab(ii,iii,iv,v)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";292;"Hyla meridionalis";"Hyla meridionalis Böttger, 1874";"Rainette méridionale (La)";"Amphibia";"Anura";"Hylidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";79261;"Hyla sarda";"Hyla sarda (Betta, 1857)";"Rainette sarde (La)";"Amphibia";"Anura";"Hylidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";281;"Hyla arborea";"Hyla arborea (Linnaeus, 1758)";"Rainette verte (La)";"Amphibia";"Anura";"Hylidae";"FRAR2";NA;"NT";"pr. A4ac";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";287;"Hyla arborea arborea";"Hyla arborea arborea (Linnaeus, 1758)";"Rainette verte (La)";"Amphibia";"Anura";"Hylidae";"FRAR2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";701817;"Salamandra corsica";"Salamandra corsica (Savi, 1838)";"Salamandre de Corse (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;"NT";"pr. B(1+2)b(ii,iii,iv,v)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";699127;"Salamandra lanzai";"Salamandra lanzai (Nascetti, Andreone, Capula & Bullini, 1988)";"Salamandre de Lanza (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;"NT";"pr. D2";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";701819;"Salamandra atra";"Salamandra atra (Laurenti, 1768)";"Salamandre noire (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;"VU";"D2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";86;"Salamandra atra atra";"Salamandra atra atra (Laurenti, 1768)";"Salamandre noire (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";92;"Salamandra salamandra";"Salamandra salamandra (Linnaeus, 1758)";"Salamandre tachetée (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";965093;"Salamandra salamandra fastuosa";"Salamandra salamandra fastuosa (Schreiber, 1912)";"Salamandre tachetée fastueuse (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";965031;"Salamandra salamandra hispanica";"Salamandra salamandra hispanica (Wolterstorff, 1937)";"Salamandre tachetée hispanique (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";965096;"Salamandra salamandra terrestris";"Salamandra salamandra terrestris (Lacepède, 1788)";"Salamandre tachetée terrestre (La)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";206;"Bombina bombina";"Bombina bombina (Linnaeus, 1761)";"Sonneur à ventre de feu (Le)";"Amphibia";"Anura";"Bombinatoridae";NA;NA;"NA";"a";NA;NA;NA;NA;NA;NA;"CDH4, CDH2";NA;NA;NA
"Amphibiens";212;"Bombina variegata";"Bombina variegata (Linnaeus, 1758)";"Sonneur à ventre jaune (Le)";"Amphibia";"Anura";"Bombinatoridae";"FRAR2";NA;"VU";"A4ac";NA;NA;NA;NA;NA;NA;"CDH4, CDH2";NA;NA;NA
"Amphibiens";215;"Bombina variegata variegata";"Bombina variegata variegata (Linnaeus, 1758)";"Sonneur à ventre jaune (Le)";"Amphibia";"Anura";"Bombinatoridae";"FRAR2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH4, CDH2";NA;NA;NA
"Amphibiens";79251;"Speleomantes strinatii";"Speleomantes strinatii (Aellen, 1958)";"Spélerpès de Strinati (Le)";"Amphibia";"Urodela";"Plethodontidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH2, CDH4";NA;NA;NA
"Amphibiens";444430;"Ichthyosaura alpestris";"Ichthyosaura alpestris (Laurenti, 1768)";"Triton alpestre (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";699553;"Ichthyosaura alpestris alpestris";"Ichthyosaura alpestris alpestris (Laurenti, 1768)";"Triton alpestre (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";79254;"Triturus carnifex";"Triturus carnifex (Laurenti, 1768)";"Triton bourreau (Le), Triton crêté italien";"Amphibia";"Urodela";"Salamandridae";NA;NA;"NA";"a";NA;NA;NA;NA;NA;NA;"CDH4, CDH2";NA;NA;NA
"Amphibiens";139;"Triturus cristatus";"Triturus cristatus (Laurenti, 1768)";"Triton crêté (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;"NT";"pr. A4ac";NA;NA;NA;NA;NA;NA;"CDH4, CDH2";NA;NA;NA
"Amphibiens";699624;"Triturus carnifex carnifex";"Triturus carnifex carnifex (Laurenti, 1768)";"Triton crêté italien (Le)";"Amphibia";"Urodela";"Salamandridae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH2, CDH4";NA;NA;NA
"Amphibiens";150;"Triturus cristatus x T. marmoratus";"Triturus cristatus x T. marmoratus";"Triton de Blasius (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";699558;"Ichthyosaura alpestris apuana";"Ichthyosaura alpestris apuana (Bonaparte, 1839)";"Triton des Alpes apuanes (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";163;"Triturus marmoratus";"Triturus marmoratus (Latreille, 1800)";"Triton marbré (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;"NT";"pr. A4ac";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";444432;"Lissotriton helveticus";"Lissotriton helveticus (Razoumowsky, 1789)";"Triton palmé (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";699691;"Lissotriton helveticus helveticus";"Lissotriton helveticus helveticus (Razoumowsky, 1789)";"Triton palmé (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";444431;"Lissotriton vulgaris";"Lissotriton vulgaris (Linnaeus, 1758)";"Triton ponctué (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;"NT";"pr. A4ac";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";699564;"Lissotriton vulgaris vulgaris";"Lissotriton vulgaris vulgaris (Linnaeus, 1758)";"Triton ponctué (Le)";"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";79265;"Xenopus laevis";"Xenopus laevis (Daudin, 1803)";"Xénope lisse (Le)";"Amphibia";"Anura";"Pipidae";NA;NA;"NA";"a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";699626;"Xenopus laevis laevis";"Xenopus laevis laevis (Daudin, 1803)";"Xénope lisse (Le)";"Amphibia";"Anura";"Pipidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";1002469;"Alytes almogavarii inigoi";"Alytes almogavarii inigoi Dufresnes & Hernandez, 2021";NA;"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";1040529;"Aquarana catesbeiana";"Aquarana catesbeiana (Shaw, 1802)";NA;"Amphibia";"Anura";"Ranidae";NA;NA;"NA";"a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";100;"Salamandra salamandra salamandra";"Salamandra salamandra salamandra (Linnaeus, 1758)";NA;"Amphibia";"Urodela";"Salamandridae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avifaune";3984;"Prunella collaris";"Prunella collaris (Scopoli, 1769)";"Accenteur alpin";"Aves";"Passeriformes";"Prunellidae";"NO3";NA;NA;NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avifaune";3978;"Prunella modularis";"Prunella modularis (Linnaeus, 1758)";"Accenteur mouchet";"Aves";"Passeriformes";"Prunellidae";"NO3";NA;NA;NA;"LC";NA;"NA";"c";NA;NA;NA;NA;NA;NA
"Avifaune";3991;"Prunella atrogularis";"Prunella atrogularis (Brandt, 1844)";"Accenteur à gorge noire";"Aves";"Passeriformes";"Prunellidae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";3996;"Cercotrichas galactotes";"Cercotrichas galactotes (Temminck, 1820)";"Agrobate roux";"Aves";"Passeriformes";"Muscicapidae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";2651;"Hieraaetus pennatus";"Hieraaetus pennatus (Gmelin, 1788)";"Aigle botté";"Aves";"Accipitriformes";"Accipitridae";"NO3";NA;NA;NA;"NT";"pr. D1";"NA";"c";NA;NA;NA;NA;"CDO1";NA
"Avifaune";836346;"Clanga clanga";"Clanga clanga (Pallas, 1811)";"Aigle criard";"Aves";"Accipitriformes";"Accipitridae";"NO3";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;"CDO1";NA
"Avifaune";2657;"Aquila fasciata";"Aquila fasciata Vieillot, 1822";"Aigle de Bonelli";"Aves";"Accipitriformes";"Accipitridae";"NO3";NA;NA;NA;"EN";"A2a D";NA;NA;NA;NA;NA;NA;"CDO1";NA
"Avifaune";2648;"Aquila nipalensis";"Aquila nipalensis Hodgson, 1833";"Aigle des steppes";"Aves";"Accipitriformes";"Accipitridae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";2634;"Aquila adalberti";"Aquila adalberti C. L. Brehm, 1861";"Aigle ibérique";"Aves";"Accipitriformes";"Accipitridae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;"CDO1";NA
"Avifaune";2643;"Aquila heliaca";"Aquila heliaca Savigny, 1809";"Aigle impérial";"Aves";"Accipitriformes";"Accipitridae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;"CDO1";NA
"Avifaune";836345;"Clanga pomarina";"Clanga pomarina (C. L. Brehm, 1831)";"Aigle pomarin";"Aves";"Accipitriformes";"Accipitridae";"NO3";NA;NA;NA;"NA";"b";NA;NA;"NA";"b";NA;NA;"CDO1";NA
"Avifaune";2645;"Aquila chrysaetos";"Aquila chrysaetos (Linnaeus, 1758)";"Aigle royal";"Aves";"Accipitriformes";"Accipitridae";"NO3";NA;NA;NA;"VU";"D1";NA;NA;NA;NA;NA;NA;"CDO1";NA
"Avifaune";2494;"Egretta gularis";"Egretta gularis (Bosc, 1792)";"Aigrette des récifs, Aigrette à gorge blanche";"Aves";"Pelecaniformes";"Ardeidae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";2497;"Egretta garzetta";"Egretta garzetta (Linnaeus, 1766)";"Aigrette garzette";"Aves";"Pelecaniformes";"Ardeidae";"NO3";NA;NA;NA;"LC";NA;"NA";"c";NA;NA;NA;NA;"CDO1";NA
"Avifaune";442424;"Thalassarche melanophris";"Thalassarche melanophris (Temminck, 1828)";"Albatros à sourcils noirs";"Aves";"Procellariiformes";"Diomedeidae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";3644;"Melanocorypha calandra";"Melanocorypha calandra (Linnaeus, 1766)";"Alouette calandre";"Aves";"Passeriformes";"Alaudidae";"NO3";NA;NA;NA;"EN";"B2ab(iii)";NA;NA;NA;NA;NA;NA;"CDO1";NA
"Avifaune";3649;"Calandrella brachydactyla";"Calandrella brachydactyla (Leisler, 1814)";"Alouette calandrelle";"Aves";"Passeriformes";"Alaudidae";"NO3";NA;NA;NA;"EN";"A2b C1";NA;NA;NA;NA;NA;NA;"CDO1";NA
"Avifaune";3676;"Alauda arvensis";"Alauda arvensis Linnaeus, 1758";"Alouette des champs";"Aves";"Passeriformes";"Alaudidae";NA;NA;NA;NA;"NT";"pr. A2b";"LC";NA;"NA";"d";NA;NA;"CDO22";NA
"Avifaune";3681;"Eremophila alpestris";"Eremophila alpestris (Linnaeus, 1758)";"Alouette haussecol";"Aves";"Passeriformes";"Alaudidae";"NO3";NA;NA;NA;NA;NA;"NA";"c";NA;NA;NA;NA;NA;NA
"Avifaune";3670;"Lullula arborea";"Lullula arborea (Linnaeus, 1758)";"Alouette lulu";"Aves";"Passeriformes";"Alaudidae";"NO3";NA;NA;NA;"LC";NA;"NA";"c";NA;NA;NA;NA;"CDO1";NA
"Avifaune";3646;"Melanocorypha bimaculata";"Melanocorypha bimaculata (Ménétries, 1832)";"Alouette monticole";"Aves";"Passeriformes";"Alaudidae";"NO4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avifaune";885382;"Alaudala rufescens";"Alaudala rufescens (Vieillot, 1819)";"Alouette pispolette";"Aves";"Passeriformes";"Alaudidae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";886215;"Ammomanes cinctura";"Ammomanes cinctura (Gould, 1839)";"Ammomane élégante";"Aves";"Passeriformes";"Alaudidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avifaune";2788;"Histrionicus histrionicus";"Histrionicus histrionicus (Linnaeus, 1758)";"Arlequin plongeur, Garrot arlequin";"Aves";"Anseriformes";"Anatidae";"NO4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avifaune";199496;"Estrilda melpoda";"Estrilda melpoda (Vieillot, 1817)";"Astrild à joues orange";"Aves";"Passeriformes";"Estrildidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avifaune";2891;"Accipiter gentilis";"Accipiter gentilis (Linnaeus, 1758)";"Autour des palombes";"Aves";"Accipitriformes";"Accipitridae";"NO3";NA;NA;NA;"LC";NA;"NA";"c";"NA";"d";NA;NA;NA;NA
"Avifaune";2894;"Accipiter gentilis arrigonii";"Accipiter gentilis arrigonii (Kleinschmidt, 1903)";"Autour des palombes (ssp. de Corse)";"Aves";"Accipitriformes";"Accipitridae";"NO3";NA;NA;NA;"EN";"D";NA;NA;NA;NA;NA;NA;"CDO1";NA
"Avifaune";3116;"Recurvirostra avosetta";"Recurvirostra avosetta Linnaeus, 1758";"Avocette élégante";"Aves";"Charadriiformes";"Recurvirostridae";"NO3";NA;NA;NA;"LC";NA;"LC";NA;"NA";"d";NA;NA;"CDO1";NA
"Avifaune";2660;"Pandion haliaetus";"Pandion haliaetus (Linnaeus, 1758)";"Balbuzard pêcheur";"Aves";"Accipitriformes";"Pandionidae";"NO3";NA;NA;NA;"VU";"EN D (-1)";"NA";"c";"LC";NA;NA;NA;"CDO1";NA
"Avifaune";2568;"Limosa lapponica";"Limosa lapponica (Linnaeus, 1758)";"Barge rousse";"Aves";"Charadriiformes";"Scolopacidae";NA;NA;NA;NA;NA;NA;"LC";NA;"NA";"c";NA;NA;"CDO22, CDO1";NA
"Avifaune";2563;"Limosa limosa";"Limosa limosa (Linnaeus, 1758)";"Barge à queue noire";"Aves";"Charadriiformes";"Scolopacidae";NA;NA;NA;NA;"VU";"B2ab(ii,iii,iv) D1";"NT";"pr. D2";"VU";"B2ab(v)";NA;NA;"CDO22";NA
"Avifaune";199360;"Bartramia longicauda";"Bartramia longicauda (Bechstein, 1812)";"Bartramie des champs, Bartramie à longue queue, Maubèche des champs";"Aves";"Charadriiformes";"Scolopacidae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";4552;"Estrilda astrild";"Estrilda astrild (Linnaeus, 1758)";"Bec rose";"Aves";"Passeriformes";"Estrildidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avifaune";4609;"Loxia leucoptera";"Loxia leucoptera Gmelin, 1789";"Bec-croisé bifascié";"Aves";"Passeriformes";"Fringillidae";"NO4";NA;NA;NA;NA;NA;NA;NA;"NA";"b";NA;NA;NA;NA
"Avifaune";4603;"Loxia curvirostra";"Loxia curvirostra Linnaeus, 1758";"Bec-croisé des sapins";"Aves";"Passeriformes";"Fringillidae";"NO3";NA;NA;NA;"LC";NA;NA;NA;"NA";"d";NA;NA;NA;NA
