"REGION";"CD_REF";"PR";"PR_det";"LRR";"LRR_det";"LRR_N";"LRR_N_det";"LRR_H";"LRR_H_det";"LRR_P";"LRR_P_det";"ZNIEFF";"ZNIEFF_det"
"Alsace";"3120";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3136";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3153";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3187";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3289";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3293";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3343";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3352";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3371";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3420";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3422";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3424";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3429";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3439";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3465";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3482";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3489";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3493";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3507";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3511";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3518";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3522";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3525";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3533";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3540";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3551";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3561";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3571";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3582";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3586";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3590";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3595";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3601";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3603";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3608";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3611";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3619";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3630";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3656";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3670";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3676";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3688";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3696";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3713";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3723";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3726";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3733";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3741";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3755";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3764";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3774";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3780";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3784";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3791";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3798";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3803";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3807";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3811";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3814";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"3941";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3958";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3967";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3978";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"3984";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4001";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4013";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4023";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4035";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4040";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4049";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4064";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4084";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4112";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4117";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4127";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4129";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4137";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4142";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4167";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4172";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4187";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4192";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4195";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4198";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4212";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4215";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4252";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4254";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4257";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4269";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4272";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4280";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4289";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4308";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4319";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4327";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4330";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4342";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4460";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"4466";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4474";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"4480";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
